ID,Code,Name
12839,334353,47,깨쥐
12863,334358,47,채깨
12947,334370,46,에되
12948,334370,46,즈거
12999,334379,46,쒸솨
13074,334394,46,휘부
13080,334396,46,뽀둬
13088,334397,46,씌녀
13094,334398,46,버똬
13189,334418,46,챠쿼
13218,334422,46,까까
13219,334422,46,띠뼈
13269,334434,46,쩨듸
13302,334440,46,왜례
13313,334442,46,뛰폐
13323,334444,46,붸나
13337,334446,46,돼툐
13342,334447,46,쿄먀
13350,334448,46,쟈띠
13391,334453,46,쨔여
13394,334453,46,똬챠
13395,334454,46,쒸페
13426,334459,46,봐줴
13461,334466,46,숴러
13463,334467,46,게쒸
13474,334469,46,섀벼
13526,334478,46,파뒤
13529,334479,46,퉤퀴
13539,334482,46,헤쿄
13540,334482,46,훼뻐
13576,334489,46,듸쭤
13648,334503,46,쑤껴
13679,334509,46,트튀
13721,334516,46,쇄붸
13779,334527,46,댜깨
13818,334532,46,퉈커
13831,334534,46,훼셰
13906,334547,46,쫴취
13926,334550,46,꼐괘
13939,334551,46,띄져
13942,334552,46,해셰
13999,334564,46,터끄
14031,334569,46,쟈풔
14033,334570,46,꾀됴
14102,334582,46,쿠좌
14103,334582,46,버쐬
14134,334589,46,르쐬
14184,334596,46,틔슈
14210,334600,46,뻬쟤
14214,334601,46,퉈대
14228,334604,46,캬커
14357,334628,46,새뙤
14365,334630,46,쩨갸
14374,334632,46,졔카
14376,334632,46,츠뛔
14382,334633,46,유붸
14390,334634,46,푀뒤
14452,334644,46,퐈쉬
14454,334645,46,홰봐
14478,334651,46,쑤쪄
14487,334653,46,퐈돼
14505,334656,46,뒤취
14527,334659,46,뼈토
14544,334662,46,켸새
14558,334664,46,녜뉘
14566,334665,46,뤠라
14594,334669,46,솨뀨
14602,334671,45,쩌쇄
14645,334680,45,봬지
14691,334688,45,쒸째
14692,334688,45,혀섀
14695,334689,45,무켸
14719,334693,45,톄따
14777,334702,45,쥬뭬
14795,334705,45,꽈게
14868,334721,45,뉴따
14910,334728,45,눠거
14984,334743,45,봐너
15017,334750,45,주쑤
15023,334751,45,빠몌
15072,334757,45,춰표
15112,334765,45,똬쬐
15219,334784,45,촤으
15278,334793,45,먀혀
15279,334793,45,뚜토
15286,334794,45,궈러
15293,334796,45,빠뇌
15326,334800,45,쒸케
15348,334803,45,제져
15397,334812,45,쇄줘
15424,334817,45,써에
15447,334821,45,꾀크
15457,334822,45,뾰뒈
15481,334827,45,펴탸
15507,334830,45,휴께
15533,334834,45,써궤
15546,334836,45,탸규
15554,334837,45,표흐
15555,334837,45,겨좨
15566,334839,45,려혀
15610,334847,45,버켸
15614,334849,45,틔휘
15662,334857,45,져조
15703,334863,45,고쐐
15735,334869,45,콰뿌
15743,334870,45,듸유
15854,334890,44,메뀌
15884,334895,44,쇄퀘
15929,334904,44,빠볘
15935,334905,44,꾀려
15956,334909,44,계뫄
15995,334917,44,댜궤
16056,334931,44,폐페
16071,334934,44,뉘촤
16156,334949,44,꾀노
16185,334954,44,뒈깨
16276,334973,44,테뉴
16280,334974,44,씨봬
16316,334981,44,오췌
16413,334999,44,지뮈
16459,335009,44,뽀뭬
16499,335017,44,꾀슈
16503,335018,44,희뾔
16517,335020,44,훠뵈
16551,335027,44,쥬뒈
16552,335027,44,조에
16588,335033,44,죄페
16702,335054,44,코뛰
16707,335054,44,샤홰
16712,335055,44,계뿌
16737,335059,44,가뒤
16745,335060,44,휴외
16753,335061,44,쒜쏴
16781,335067,44,봬퓌
16893,335089,44,쾨주
16907,335091,44,쇄비
16910,335092,44,쪄쫘
16932,335096,44,녀나
16937,335097,44,줘시
16940,335097,44,탸돼
16946,335099,44,녀봬
16963,335103,44,뇨죠
16968,335105,44,또뙈
16984,335107,44,뉴햐
17007,335111,44,쀼꾜
17075,335124,43,쒀벼
17096,335127,43,숴쇠
17107,335130,43,뭬뗘
17161,335141,43,뛰규
17168,335142,43,마붸
17308,335167,43,회쪄
17337,335172,43,쪄캬
17354,335175,43,표뙤
17362,335176,43,붜냐
17368,335178,43,느퓌
17412,335185,43,죠쫘
17500,335199,43,꽤쁘
17524,335204,43,계쎄
17535,335206,43,붸꼬
17570,335212,43,쒜뉴
17577,335213,43,귀켸
17579,335213,43,티뇨
17611,335219,43,퇘캐
17619,335219,43,궤뤄
17686,335231,43,뷰댜
17763,335243,43,꾀퓨
17776,335244,43,줴볘
17816,335251,43,저췌
17820,335252,43,져화
17822,335252,43,여퀘
17834,335253,43,쏘하
17928,335272,43,며크
17956,335277,43,꼬췌
18039,335292,43,퀴눼
18067,335298,43,아쾌
18077,335299,43,겨꼬
18104,335304,43,며죠
18160,335316,43,뼈뼈
18197,335322,43,괴꺄
18204,335323,43,으셰
18241,335332,43,묘꾜
18242,335332,43,떼므
18244,335332,43,최쀼
18249,335334,43,데뻐
18338,335348,43,쇄뛰
18352,335351,43,뫼혀
18384,335354,43,채녜
18386,335355,43,디르
18394,335357,43,화져
18420,335361,43,쒀퓨
18442,335364,43,댜머
18447,335364,43,췌롸
18511,335376,43,료톼
18535,335380,43,타뙤
18547,335383,43,궤눼
18603,335396,43,휘뗘
18738,335423,43,꾀표
18742,335423,43,졔짜
18749,335425,43,퇴겨
18775,335429,43,돠찌
18841,335439,43,뤄커
18902,335449,43,뫼드
18910,335450,43,테뫄
18924,335452,43,쩌쐐
18947,335456,43,쳐봬
18958,335458,43,꾀쇼
18972,335461,43,쾨초
19025,335471,43,퀘머
19026,335471,43,뒈뮈
19029,335472,43,끼쮜
19045,335475,43,쏴쩌
19062,335479,43,쁘꾀
19068,335480,43,토퓌
19083,335483,43,내허
19094,335485,43,짜뤄
19135,335492,43,뤠좨
19148,335494,43,예퀘
19196,335501,43,좌쟤
19249,335509,43,뛔자
19278,335515,42,괘씌
19384,335535,42,똬웨
19411,335540,42,따쁘
19424,335541,42,띄느
19459,335546,42,퓨뤄
19468,335548,42,찌웨
19508,335556,42,뤄께
19519,335559,42,뒈아
19525,335560,42,죠괘
19552,335565,42,쇄쟤
19553,335565,42,캐깨
19674,335587,42,써꽤
19704,335591,42,교뫼
19738,335597,42,쪄줴
19751,335599,42,가섀
19843,335617,42,퇘드
19864,335620,42,려츄
19900,335626,42,귀추
19908,335628,42,퐈퀘
19969,335641,42,켸쪄
19976,335643,42,례데
20070,335657,42,구퉤
20081,335659,42,수쏘
20212,335681,42,츄쑤
20227,335683,42,때츠
20249,335687,42,죄티
20331,335704,42,기쿼
20383,335712,42,튜뙈
20398,335715,42,레수
20443,335726,42,쭤켜
20564,335746,42,꾀셔
20570,335748,42,즈귀
20577,335748,42,예캐
20589,335751,42,톼뵤
20601,335753,42,타꿔
20619,335756,42,꺼뎨
20663,335763,42,쏴찌
20689,335767,42,다또
20723,335773,42,돠디
20734,335776,42,쭤셰
20749,335778,42,샤제
20753,335778,42,케으
20773,335781,42,꺼매
20786,335784,42,뮤케
20795,335785,41,쩌켸
20850,335794,41,로쇠
20897,335803,41,바틔
20959,335816,41,쎄헤
21009,335824,41,캐퇘
21028,335826,41,괴섀
21049,335831,41,벼녜
21056,335831,41,짜쒸
21085,335837,41,리깨
21105,335842,41,포꽤
21111,335843,41,토뒤
21124,335845,41,꾀혜
21170,335854,41,퓌뽀
21259,335869,41,더뙈
21294,335875,41,촤메
21310,335879,41,주취
21321,335881,41,뛔세
21357,335889,41,씨돠
21369,335891,41,쓰톄
21400,335898,41,퀘샤
21415,335902,41,푸쒜
21495,335915,41,쒸뭬
21496,335915,41,늬눼
21536,335924,41,추껴
21552,335926,41,쉬파
21592,335933,41,데웨
21620,335939,41,꾀셰
21662,335947,41,솨스
21671,335949,41,웨혜
21672,335949,41,며쉬
21774,335968,41,카테
21786,335972,41,러퉤
21795,335973,41,뫄쏴
21815,335976,41,텨기
21931,336000,41,쪄화
22023,336020,41,쮸듸
22026,336021,41,벼쾨
22074,336029,41,괴꿰
22176,336049,41,듸댜
22188,336051,41,내뎌
22283,336069,41,후쫴
22293,336071,41,뾔챠
22321,336075,41,쑤뒈
22408,336093,41,뤄뱌
22434,336097,41,셔숴
22468,336102,41,네놔
22480,336105,41,캐고
22530,336113,41,부똬
22540,336114,41,뭐취
22563,336118,41,재뻬
22579,336120,40,브뙈
22616,336127,40,쬐튀
22675,336142,40,쫴놔
22718,336153,40,쌔저
